"filename", "language", "YAML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\components\Paginate.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\components\Product.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\components\ProductCarousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\components\Rating.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 4, 61
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\components\SearchBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 1, 6, 41
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\constants.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 2, 1, 8
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\index.js", "JavaScript", 0, 0, 0, 83, 0, 0, 0, 1, 4, 88
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\CartScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 2, 8, 118
"c:\Users\Developer\Desktop\My Projects\proshop-v2\frontend\src\screens\HomeScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 5, 58
